iter	Logloss
0	0.6397049296
1	0.5927760204
2	0.5593342059
3	0.522476642
4	0.4945779276
5	0.4669946608
6	0.4375309765
7	0.4184329782
8	0.3950558641
9	0.3803375248
10	0.3624852283
11	0.348138747
12	0.3366291298
13	0.3296980198
14	0.3184754179
15	0.3090426614
16	0.3033539515
17	0.2939126712
18	0.284766071
19	0.2768234163
20	0.2725914146
21	0.2650625341
22	0.2610111228
23	0.2563748395
24	0.2510077144
25	0.2467837475
26	0.243487699
27	0.2385652316
28	0.2360938609
29	0.2312500985
30	0.2275528475
31	0.2250037702
32	0.2224488241
33	0.2205369772
34	0.2188725028
35	0.2167297954
36	0.2146636623
37	0.2129939135
38	0.2115384477
39	0.2096492581
40	0.2080844494
41	0.207086176
42	0.2057811686
43	0.2032871069
44	0.2021381635
45	0.2013007727
46	0.2006169223
47	0.2000363815
48	0.1990597966
49	0.1982104484
50	0.196612158
51	0.1950738659
52	0.1940477791
53	0.1929243188
54	0.1919730501
55	0.1915275294
56	0.1905916105
57	0.1891397993
58	0.1882397637
59	0.1877235611
60	0.18736923
61	0.1870650816
62	0.1858562417
63	0.1851587636
64	0.1843191989
65	0.1840645899
66	0.1835939514
67	0.1826170272
68	0.1823234948
69	0.1815560598
70	0.1807542625
71	0.1805547511
72	0.1798837752
73	0.1792488154
74	0.1788037749
75	0.1783737249
76	0.1781168951
77	0.1777703819
78	0.1768750131
79	0.1762064016
80	0.1756848694
81	0.1752788496
82	0.1749804326
83	0.1747195439
84	0.1745468202
85	0.1738152262
86	0.1732778915
87	0.1731306021
88	0.1728841412
89	0.1725970538
90	0.1724306634
91	0.1721937432
92	0.1718647387
93	0.1714188321
94	0.1710717782
95	0.1708127225
96	0.1704475088
97	0.1702891135
98	0.1700704082
99	0.1698404955
100	0.1695393556
101	0.1691380623
102	0.1689788283
103	0.1687369944
104	0.1683175822
105	0.1679949077
106	0.1678067551
107	0.1676008775
108	0.1673183937
109	0.1670425112
110	0.1668808884
111	0.1664775974
112	0.1663029943
113	0.1660449829
114	0.1658377135
115	0.1657074431
116	0.1654432964
117	0.165157197
118	0.1649455766
119	0.1647018737
120	0.164414034
121	0.1642244231
122	0.1640638273
123	0.1639494646
124	0.1636799456
125	0.1635088738
126	0.1633237987
127	0.1631508573
128	0.1630210259
129	0.1626626417
130	0.162377348
131	0.1621389375
132	0.1619397342
133	0.161767671
134	0.1616396324
135	0.1614130974
136	0.1612333333
137	0.1611201262
138	0.1607544705
139	0.1605995704
140	0.1604301465
141	0.1602735525
142	0.1600398425
143	0.1597795985
144	0.159625043
145	0.1595042854
146	0.1593063099
147	0.1591139856
148	0.1589856215
149	0.1588178605
150	0.1584733551
151	0.158371331
152	0.1581919795
153	0.1579425706
154	0.1577942294
155	0.1576943955
156	0.1574233253
157	0.1572356587
158	0.1571365749
159	0.1569288469
160	0.1567867907
161	0.156495123
162	0.1563004584
163	0.1561835811
164	0.1559239539
165	0.1558102273
166	0.1556628535
167	0.1555031064
168	0.1553203268
169	0.1551643534
170	0.155001828
171	0.1549167932
172	0.1548038975
173	0.1546815187
174	0.1545545886
175	0.1543601096
176	0.1542331817
177	0.1540730777
178	0.1537686375
179	0.1536223119
180	0.1534467635
181	0.1532734394
182	0.1531013099
183	0.1529424015
184	0.1528787932
185	0.1526938817
186	0.1525927178
187	0.1524548425
188	0.1522864741
189	0.152191625
190	0.1520788641
191	0.1519639126
192	0.1517237756
193	0.1515852606
194	0.1514451091
195	0.1512854016
196	0.1511009254
197	0.1507985589
198	0.1506910474
199	0.1505876937
200	0.1504786678
201	0.1503490227
202	0.1502550881
203	0.1501787784
204	0.1499751491
205	0.1498386959
206	0.1496282839
207	0.1494180704
208	0.1493066808
209	0.149100377
210	0.1488553096
211	0.1487249326
