iter	Passed	Remaining
0	6	6044
1	10	5032
2	13	4500
3	17	4327
4	21	4202
5	25	4158
6	29	4138
7	34	4306
8	39	4400
9	44	4402
10	49	4463
11	55	4585
12	60	4555
13	65	4578
14	70	4655
15	75	4613
16	79	4617
17	83	4578
18	88	4571
19	92	4553
20	102	4775
21	108	4809
22	112	4774
23	118	4809
24	123	4802
25	127	4788
26	131	4755
27	136	4734
28	140	4707
29	144	4679
30	148	4627
31	151	4590
32	155	4544
33	158	4498
34	161	4461
35	165	4426
36	168	4388
37	171	4352
38	175	4317
39	193	4641
40	207	4855
41	212	4850
42	225	5029
43	235	5108
44	243	5174
45	254	5270
46	261	5303
47	267	5314
48	272	5286
49	286	5449
50	293	5452
51	300	5478
52	311	5561
53	324	5676
54	331	5692
55	337	5682
56	342	5671
57	351	5710
58	359	5729
59	371	5821
60	386	5948
61	398	6027
62	408	6082
63	416	6085
64	422	6070
65	426	6039
66	431	6015
67	436	5988
68	441	5959
69	449	5965
70	453	5935
71	457	5898
72	467	5940
73	473	5920
74	478	5905
75	484	5887
76	488	5855
77	493	5836
78	498	5811
79	503	5794
80	509	5783
81	516	5778
82	520	5751
83	525	5730
84	530	5711
85	535	5691
86	539	5658
87	543	5634
88	547	5602
89	550	5568
90	554	5542
91	558	5512
92	562	5483
93	566	5458
94	570	5433
95	573	5403
96	578	5381
97	581	5354
98	585	5325
99	588	5297
100	593	5285
101	597	5260
102	600	5233
103	604	5208
104	608	5188
105	612	5166
106	615	5140
107	619	5117
108	623	5094
109	627	5076
110	630	5051
111	634	5031
112	638	5013
113	643	4998
114	646	4976
115	650	4954
116	654	4937
117	658	4919
118	661	4899
119	665	4880
120	669	4862
121	672	4842
122	680	4850
123	684	4832
124	687	4812
125	694	4817
126	698	4802
127	706	4811
128	714	4823
129	721	4830
130	728	4830
131	736	4840
132	740	4828
133	746	4822
134	750	4811
135	754	4792
136	757	4773
137	764	4777
138	770	4771
139	773	4752
140	778	4739
141	783	4731
142	786	4714
143	790	4696
144	793	4681
145	799	4676
146	802	4658
147	806	4641
148	811	4634
149	815	4620
150	818	4602
151	822	4586
152	826	4572
153	831	4566
154	834	4549
155	837	4533
156	841	4520
157	846	4510
158	850	4496
159	853	4480
160	857	4466
161	861	4454
162	864	4439
163	867	4423
164	871	4408
165	876	4401
166	879	4386
167	882	4372
168	886	4357
169	890	4346
170	893	4333
171	897	4319
172	900	4305
173	904	4292
174	908	4282
175	911	4268
176	915	4255
177	918	4242
